"N","Time"
"399000","727378"
"400000","725242"
"401000","720183"
"402000","712634"
"403000","709314"
"404000","709358"
"405000","711835"
"406000","772555"
"407000","746922"
"408000","745862"
"409000","732755"
"410000","723718"
"411000","723043"
"412000","774763"
"413000","742725"
"414000","737755"
"415000","736864"
"416000","763486"
"417000","758854"
"418000","754719"
"419000","788682"
"420000","779049"
"421000","768716"
"422000","770647"
"423000","761267"
"424000","777924"
"425000","768827"
"426000","789820"
"427000","785610"
"428000","775109"
"429000","779649"
"430000","771411"
"431000","774903"
"432000","829299"
"433000","809880"
"434000","803901"
"435000","812806"
"436000","839491"
"437000","821596"
"438000","801431"
"439000","834055"
"440000","824931"
"441000","823030"
"442000","821569"
"443000","814765"
"444000","813736"
"445000","841063"
"446000","830179"
"447000","826898"
"448000","834170"
"449000","826034"
"450000","818191"
"451000","817518"
"452000","828348"
"453000","825048"
"454000","841360"
"455000","843338"
"456000","836914"
"457000","833955"
"458000","864872"
"459000","1035297"
"460000","1027636"
"461000","1166507"
"462000","1217945"
"463000","1077054"
"464000","1055011"
"465000","1165975"
"466000","1257818"
"467000","1105915"
"468000","1188489"
"469000","1181601"
"470000","1308317"
"471000","1403685"
"472000","3625126"
"473000","1436376"
"474000","1352636"
"475000","1363918"
"476000","1137266"
"477000","1129295"
"478000","1167664"
"479000","1203760"
"480000","1187000"
"481000","1136019"
"482000","1104727"
"483000","1143927"
"484000","1139907"
"485000","1095362"
"486000","1143019"
"487000","1113819"
"488000","1085641"
"489000","1049976"
"490000","1039693"
"491000","1029856"
"492000","1126250"
"493000","1005467"
"494000","994872"
"495000","1021630"
"496000","995204"
"497000","985606"
"498000","1014182"
"499000","1006564"
"500000","1032949"
"501000","1009428"
"502000","1002223"
"503000","993241"
"504000","999558"
"505000","1002394"
"506000","1049982"
"507000","1022827"
"508000","1052669"
"509000","1030164"
"510000","1016819"
"511000","1066400"
"512000","1039012"
"513000","1062457"
"514000","1057891"
"515000","1091391"
"516000","1062971"
"517000","1050543"
"518000","1038739"
"519000","1036706"
"520000","1032465"
"521000","1061532"
"522000","1066007"
"523000","1066182"
"524000","1058107"
"525000","1045781"
"526000","1045371"
"527000","1042353"
"528000","1037477"
"529000","1066190"
"530000","1104844"
"531000","1395322"
"532000","1024686"
"533000","994783"
"534000","1137610"
"535000","916237"
"536000","912708"
"537000","904973"
"538000","1069576"
"539000","911173"
"540000","917660"
"541000","904226"
"542000","1091534"
"543000","919652"
"544000","911649"
"545000","916877"
"546000","912526"
"547000","912059"
"548000","915234"
"549000","916240"
"550000","1014571"
"551000","1097318"
"552000","939501"
"553000","1072437"
"554000","1228490"
"555000","999774"
"556000","1072220"
"557000","1019782"
"558000","1097747"
"559000","1011038"
"560000","975296"
"561000","973264"
"562000","971107"
"563000","964781"
"564000","963125"
"565000","1000165"
"566000","1080535"
"567000","971782"
"568000","975341"
"569000","968339"
"570000","966496"
"571000","1163306"
"572000","987674"
"573000","1053966"
"574000","1093779"
"575000","984107"
"576000","981298"
"577000","1022992"
"578000","1081563"
"579000","1025054"
"580000","983437"
"581000","1059586"
"582000","1106914"
"583000","992619"
"584000","1000185"
"585000","1108123"
"586000","1114021"
"587000","1468193"
"588000","1759899"
"589000","1361417"
"590000","1454078"
"591000","1428518"
"592000","1562791"
"593000","1356605"
"594000","1363103"
"595000","1877110"
"596000","1346097"
"597000","1484389"
"598000","1262226"
"599000","1392108"
"600000","1475873"
"601000","1371980"
"602000","1413400"
"603000","1296213"
"604000","1211480"
"605000","1315452"
"606000","1288682"
"607000","1270943"
"608000","1360219"
"609000","1355279"
"610000","1323297"
"611000","1272515"
"612000","1269325"
"613000","1230639"
"614000","1272586"
"615000","1202260"
"616000","1195208"
"617000","1204328"
"618000","1183342"
"619000","1174714"
"620000","1153251"
"621000","1146504"
"622000","1148643"
"623000","1306569"
"624000","1246039"
"625000","1430181"
"626000","1434311"
"627000","1437666"
"628000","1449744"
"629000","1467549"
"630000","1183989"
"631000","1189566"
"632000","1188955"
"633000","1177530"
"634000","1184253"
"635000","1199742"
"636000","1545402"
"637000","1217974"
"638000","1203053"
"639000","1284400"
"640000","1197826"
"641000","1233895"
"642000","1408126"
"643000","1206833"
"644000","1196804"
"645000","1177145"
"646000","1335028"
"647000","1204890"
"648000","1369904"
"649000","1515644"
"650000","1244232"
"651000","1215126"
"652000","1205512"
"653000","1193541"
"654000","1408327"
"655000","1250237"
"656000","1245892"
"657000","1217383"
"658000","1216269"
"659000","1207523"
"660000","1301936"
"661000","1416130"
"662000","1491501"
"663000","1280156"
"664000","1258317"
"665000","1245653"
"666000","1286359"
"667000","1419323"
"668000","1283679"
"669000","1274524"
"670000","1264128"
"671000","1271380"
"672000","1306101"
"673000","1398894"
"674000","1734541"
"675000","1384179"
"676000","1284639"
"677000","1299053"
"678000","1532632"
"679000","1355034"
"680000","1323929"
"681000","1303889"
"682000","1285148"
"683000","1453699"
"684000","1527844"
"685000","1365764"
"686000","1782774"
"687000","1714212"
"688000","1535061"
"689000","1903764"
"690000","1726632"
"691000","1505115"
"692000","1413101"
"693000","1390210"
"694000","1778039"
"695000","1470872"
"696000","1815598"
"697000","1437579"
"698000","1501900"
"699000","1564910"
"700000","1437599"
"701000","1407644"
"702000","1385066"
"703000","1451398"
"704000","1507142"
"705000","1591177"
"706000","1522689"
"707000","1826765"
"708000","1515901"
"709000","1450715"
"710000","1611768"
"711000","1476878"
"712000","1443600"
"713000","1562747"
"714000","1577414"
"715000","1635314"
"716000","1498568"
"717000","1452341"
"718000","2570414"
"719000","1791711"
"720000","1670197"
"721000","1586128"
"722000","1547885"
"723000","1794478"
"724000","1711246"
"725000","1789778"
"726000","1564793"
"727000","1997534"
"728000","1727207"
"729000","1853537"
"730000","1659356"
"731000","1604856"
"732000","1543767"
"733000","1659333"
"734000","1618603"
"735000","1681751"
"736000","1540850"
"737000","1829552"
"738000","2095651"
"739000","1659717"
"740000","1574569"
"741000","1562463"
"742000","1558716"
"743000","1768264"
"744000","1623150"
